iter	Passed	Remaining
375	1616	2683
376	1620	2678
377	1625	2675
378	1630	2671
379	1634	2667
380	1639	2663
381	1643	2659
382	1647	2654
383	1652	2650
384	1656	2645
385	1660	2641
386	1664	2636
387	1669	2632
388	1673	2628
389	1677	2623
390	1681	2618
391	1685	2613
392	1689	2609
393	1693	2604
394	1697	2600
395	1701	2595
396	1705	2590
397	1709	2585
398	1713	2581
399	1717	2576
400	1722	2572
401	1726	2568
402	1730	2564
403	1734	2559
404	1739	2554
405	1742	2550
406	1746	2545
407	1750	2540
408	1754	2535
409	1758	2530
410	1762	2525
411	1766	2520
412	1770	2515
413	1773	2510
414	1777	2506
415	1781	2501
416	1786	2497
417	1790	2492
418	1793	2487
419	1797	2482
420	1801	2477
421	1805	2473
422	1809	2468
423	1813	2463
424	1817	2459
425	1821	2454
426	1825	2449
427	1829	2444
428	1833	2440
